# PuntoID  LocID  Demanda    Lat         Lon
1          1      1         -33.226602  -70.700922
2          1      1         -33.225967  -70.693258
3          2      1         -33.283563  -70.653028
4          2      1         -33.283256  -70.642266
5          2      1         -33.283408  -70.660016
6          3      1         -33.327337  -70.588697
7          3      1         -33.345481  -70.607660
8          4      1         -33.398158  -70.566410
9          4      1         -33.375257  -70.556087
10         4      1         -33.395470  -70.532798
